address_id,property_id,full_address_text,landmarks,raw_source_preserved 
ADDR001,PROP001,"Gomtinagar Extension, Lucknow, Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Oranje Castle, Sector 7, Gomti Nagar Extension, Near Police Head offic","Oranje Castle, Sector 7, Near Police Head offic",MagicBricks listing preserved
ADDR002,PROP002,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Ashiana Colony","Ashiana Colony",MagicBricks preserved
ADDR003,PROP003,"Ashiana colony sector M, Ashiana, Lucknow, Uttar Pradesh Landmarks: Near Zonal Park","Near Zonal Park",MagicBricks preserved
ADDR004,PROP004,"sector k, Ashiana, Lucknow, Uttar Pradesh Landmarks: Ashiana Colony","Ashiana Colony",MagicBricks preserved
ADDR005,PROP005,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Ashiana Colony","Ashiana Colony",MagicBricks preserved
ADDR006,PROP006,"Ashiana colony sector k 1, Ashiana, Lucknow, Uttar Pradesh Landmarks: Near Centeral Academy","Near Centeral Academy",MagicBricks preserved
ADDR007,PROP007,"L-130 LDA colony, Ashiana, Lucknow, Uttar Pradesh","Ashiana Colony",MagicBricks preserved
ADDR008,PROP008,"hig-1441, sector I, LDA Colony, kanpur road, Ashiana, Lucknow, Uttar Pradesh","Sector I, LDA Colony, Kanpur Road",MagicBricks preserved
ADDR009,PROP009,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Ram Kath Madan Ashiana Colony","Ram Kath Madan Ashiana Colony",MagicBricks preserved
ADDR010,PROP010,"K-965., Ashiana, Lucknow, Uttar Pradesh Landmarks: Lucknow Airport, Lucknow Metro, Shopping Malls Golds Gym","Lucknow Airport, Lucknow Metro, Shopping Malls, Golds Gym",MagicBricks preserved
ADDR011,PROP011,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Parag Divider Road","Parag Divider Road",MagicBricks preserved
ADDR012,PROP012,"Ashiana colony sector k 1, Ashiana, Lucknow, Uttar Pradesh Landmarks: Near Centeral Academy","Near Centeral Academy",MagicBricks preserved
ADDR013,PROP013,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Ashiana Colony","Ashiana Colony",MagicBricks preserved
ADDR014,PROP014,"Ashiana, Lucknow, Uttar Pradesh Landmarks: Ashiana Colony","Ashiana Colony",MagicBricks preserved
ADDR015,PROP015,"ASHIYANA LUCKNOW, Ashiana, Lucknow, Uttar Pradesh Landmarks: Maharaja Bijli Pasi Quila ruins","Maharaja Bijli Pasi Quila ruins",MagicBricks preserved
ADDR016,PROP016,"Lda Near Spring Dale CMS, Ashiyana, Lucknow, Uttar Pradesh Landmarks: Near Spring dale and CMS","Near Spring Dale and CMS",MagicBricks preserved
ADDR017,PROP017,"Sector M Ashiyana, Lucknow, Uttar Pradesh Landmarks: Near Vishwanath academy school","Near Vishwanath academy school",MagicBricks preserved
ADDR018,PROP018,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR019,PROP019,"free hold 20 fit road, Sujanpura, Lucknow, Uttar Pradesh","Sujanpura",MagicBricks preserved
ADDR020,PROP020,"Chander Nagar, Lucknow, Uttar Pradesh","Chander Nagar",MagicBricks preserved
