amenity_id,amenity_name
1,Lift
2,Swimming Pool
3,Gymnasium
4,Club House
5,Mini Theatre
6,Children's Play Area
7,Park Facing
8,Power Backup
9,CCTV
10,Gated Society
11,Amphitheatre
12,Jogging Track
13,Badminton Court
14,Tennis Court
15,Indoor Games
16,Reserved Parking
17,Security
18,Water Storage
19,Vaastu Compliant
20,Service/Goods Lift
21,Air Conditioned
22,Visitor Parking
23,Intercom Facility
24,Maintenance Staff
25,Waste Disposal
26,Internet/Wi-Fi Connectivity
27,DTH Television Facility
28,RO Water System
29,Banquet Hall
30,Conference Room
31,Piped Gas
32,Outdoor Tennis Courts
33,Gated Colony
34,Boundary Wall
35,Security Guard
36,Street Lights
37,Drainage System
38,24x7 Water Supply
